worker_id,ring_name,birthday,birthplace,height_cm,weight_kg,promotion,rating,votes,profile_url
448,Adam Pearce,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=448&gimmick=Adam+Pearce
5264,Adrian Butler,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=5264&gimmick=Adrian+Butler
28031,Adriana Rizzo,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28031&gimmick=Adriana+Rizzo
801,AJ Styles,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=801&gimmick=AJ+Styles
11321,AJ Winkler,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=11321&gimmick=AJ+Winkler
3739,Akira Tozawa,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3739&gimmick=Akira+Tozawa
9917,Alba Fyre,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=9917&gimmick=Alba+Fyre
1700,Aleister Black,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1700&gimmick=Aleister+Black
352,Alex Shelley,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=352&gimmick=Alex+Shelley
14526,Alexa Bliss,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14526&gimmick=Alexa+Bliss
28563,Alicia Taylor,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28563&gimmick=Alicia+Taylor
5596,Andrade,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=5596&gimmick=Andrade
9129,Andre Chase,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=9129&gimmick=Andre+Chase
10195,Angel,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=10195&gimmick=Angel+++
12894,Angelo Dawkins,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=12894&gimmick=Angelo+Dawkins
30606,Anthony Luke,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=30606&gimmick=Anthony+Luke
11207,Apollo Crews,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=11207&gimmick=Apollo+Crews
30523,Aria Bennett,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=30523&gimmick=Aria+Bennett
24531,Arianna Grace,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=24531&gimmick=Arianna+Grace
3093,Armando Estrada,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3093&gimmick=Armando+Estrada
2785,Asuka,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2785&gimmick=Asuka
18855,Austin Theory,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=18855&gimmick=Austin+Theory
26299,Ava,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=26299&gimmick=Ava+
18852,Axiom,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=18852&gimmick=Axiom
23820,B-Fab,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=23820&gimmick=B-Fab
9089,Bayley,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=9089&gimmick=Bayley
31197,Bayley Humphrey,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31197&gimmick=Bayley+Humphrey
2467,Becky Lynch,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2467&gimmick=Becky+Lynch
14606,Berto,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14606&gimmick=Berto+
18242,Bianca Belair,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=18242&gimmick=Bianca+Belair
8880,Big E,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=8880&gimmick=Big+E
833,Billy Kidman,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=833&gimmick=Billy+Kidman
29626,BJ Ray,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=29626&gimmick=BJ+Ray
19787,Blake Howard,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=19787&gimmick=Blake+Howard
22788,Blake Monroe,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=22788&gimmick=Blake+Monroe
959,Bob Backlund,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=959&gimmick=Bob+Backlund
2455,Boogeyman,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2455&gimmick=Boogeyman
642,Booker T,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=642&gimmick=Booker+T
31733,Braxton Cole,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31733&gimmick=Braxton+Cole
760,Brian James,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=760&gimmick=Brian+James++
27696,Brinley Reece,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=27696&gimmick=Brinley+Reece
669,Brock Lesnar,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=669&gimmick=Brock+Lesnar
24300,Bron Breakker,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=24300&gimmick=Bron+Breakker
27226,Bronco Nima,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=27226&gimmick=Bronco+Nima
